Atletas,Jogos,Gols,Assists,Títulos,,,,,,,
Cantarelle (GK),6,0,0,0,,,,,,,
Alexsander,2,0,0,0,,,,1a fase,,,
Pelé,4,0,0,0,,,,GALÁTICOS,1 x 0,Ajax,Patrick
Paquetá,6,1,0,0,,,,GALÁTICOS,2 x 1,Juventude,Paquetá e Caio
Breno,4,0,0,0,,,,GALÁTICOS,1 x 0,Madureira,Eric
Pedro Medeiros,2,0,0,0,,,,GALÁTICOS,5 x 1,Red Bull,"Sandro(2), Lúcio, Caio "
Thurm,3,0,0,0,,,,GALÁTICOS,2 x 3,PMDF,Scheldon e JM
Luquinhas,4,0,0,0,,,,GALÁTICOS,1 x 4,Dominados,LV
Cowboy,6,0,1,0,,,,GALÁTICOS,1 x 3,Puma,Sandro
Renatin,4,0,2,0,,,,,,,
Leozito,1,0,0,0,,,,,,,
Patrick,5,1,1,0,,,,,,,
Dias,4,0,0,0,,,,,,,
Leo Gordo,1,0,0,0,,,,,,,
Sandrinho,5,3,0,0,,,,,,,
Lúcio,7,1,0,0,,,,,,,
Lawall,4,0,2,0,,,,,,,
Tales,4,0,0,0,,,,,,,
Scheldon,3,1,1,0,,,,,,,
Wisman,2,0,0,0,,,,,,,
JM,5,1,0,0,,,,,,,
Eric,5,1,0,0,,,,,,,
Lucas Victor,2,1,0,0,,,,,,,
Tiago,4,0,0,0,,,,,,,
Caio,4,2,0,0,,,,,,,
Ernesto,5,0,0,0,,,,,,,
Martins,5,0,0,0,,,,,,,
Zaza,3,0,0,0,,,,,,,
Rominho,3,0,1,0,,,,,,,
Presida,7,0,0,0,,,,,,,
